station,reseau,trafic,arrondissement,nb_corr,lat,lon
MICHEL-ANGE-AUTEUIL,Métro,1131814,16.0,2,48.8480025,2.2641679
CARDINAL LEMOINE,Métro,710141,5.0,1,48.8465303,2.3518356
PONT CARDINET,Métro,112229,17.0,1,48.8880133,2.3137814
LA MOTTE-PICQUET-GRENELLE,Métro,3428458,15.0,3,48.8491009,2.2981675
REAUMUR-SEBASTOPOL,Métro,2718817,3.0,2,48.8662481,2.3526084
CHAMPS-ELYSEES-CLEMENCEAU,Métro,1735350,8.0,2,48.8674912,2.3140701
MAUBERT-MUTUALITE,Métro,913919,5.0,1,48.8500649,2.3484301
TEMPLE,Métro,731355,2.0,1,48.8664946,2.3607078
EGLISE D'AUTEUIL,Métro,95182,16.0,1,48.8473124,2.2686366
LA HACQUINIERE,RER,213256,,1,,
LES COURTILLES,Métro,2194218,,1,48.8667698,2.3823679
LOUISE MICHEL,Métro,1735982,,1,48.8877311,2.2882219
SEVRES-LECOURBE,Métro,923347,15.0,1,48.8456163,2.3095848
RANELAGH,Métro,1234203,16.0,1,48.8555764,2.2702166
NEUILLY-PLAISANCE,RER,3726798,,1,,
JAURES,Métro,3148221,19.0,3,48.8825949,2.3703263
SAINT-FRANCOIS-XAVIER,Métro,812792,7.0,1,48.8514517,2.3144205
LA TOUR-MAUBOURG,Métro,965136,7.0,1,48.8575602,2.3103234
MAISONS-ALFORT-LES JUILLIOTTES,Métro,905627,,1,,
CHAMPIGNY,RER,2209619,,1,48.8035406,2.5338588
PORTE DE CLIGNANCOURT,Métro,4902116,18.0,1,48.8973976,2.3448521
CHATILLON-MONTROUGE,Métro,3738453,,1,48.8111619,2.3000922
OBERKAMPF,Métro,2462989,11.0,2,48.8641124,2.3694232
MAIRIE DE MONTREUIL,Métro,4764601,,1,48.8675159,2.3627376
GEORGE V,Métro,2871038,8.0,1,48.872076,2.3004214
PIGALLE,Métro,2496923,18.0,2,48.8822982,2.3380899
MAISONS-ALFORT-STADE,Métro,1393467,,1,,
CORVISART,Métro,1157408,13.0,1,48.8298024,2.3504805
LIEGE,Métro,740144,8.0,1,48.8796039,2.3270446
NOISIEL,RER,1868878,,1,48.8691397,2.2785215
PARC DE SCEAUX,RER,286202,,1,48.7946486,2.293668
ROBINSON,RER,1160290,,1,48.87649,2.3020648
STALINGRAD,Métro,3336898,19.0,3,48.8842416,2.3670741
VOLTAIRE,Métro,2572383,11.0,1,48.8581794,2.3798223
OLYMPIADES,Métro,4717069,13.0,1,48.8270448,2.3664175
HAVRE-CAUMARTIN,Métro,3899956,9.0,2,48.8737533,2.3274302
PORTE D'ORLEANS,Métro,3314496,14.0,1,48.8236307,2.3256075
BILLANCOURT,Métro,1525990,,1,48.8425694,2.2512129
PORTE DE VERSAILLES,Métro,2449859,15.0,1,48.8324338,2.2879537
PHILIPPE AUGUSTE,Métro,925913,11.0,1,48.8582443,2.3901626
CRIMEE,Métro,2688758,19.0,1,48.8908513,2.3773681
MIROMESNIL,Métro,2618473,8.0,2,48.873719,2.3145029
